"id";"title";"slug";"acronym";"url";"organization";"organization_id";"owner";"owner_id";"description";"frequency";"license";"temporal_coverage.start";"temporal_coverage.end";"spatial.granularity";"spatial.zones";"featured";"created_at";"last_modified";"tags";"archived";"resources_count";"main_resources_count";"resources_formats";"downloads";"harvest.backend";"harvest.domain";"harvest.created_at";"harvest.modified_at";"harvest.remote_url";"quality_score";"metric.discussions";"metric.reuses";"metric.followers";"metric.views";"metric.resources_downloads"
"6964e862ed3fcb09b241bd0b";"GODISNjI PLAN JAVNIH KONKURSA OPSTINE BOLjEVAC ZA 2026. GODINU";"godisnji-plan-javnih-konkursa-opstine-boljevac-za-2026-godinu";"ЈАВНИ КОНКУРСИ";"https://data.gov.rs/sr/datasets/godisnji-plan-javnih-konkursa-opstine-boljevac-za-2026-godinu/";"Општина Бољевац";"6964dad0ed3fcb09b241bd09";"";"";"GODISNjI PLAN JAVNIH KONKURSA OPSTINE BOLjEVAC ZA 2026. GODINU.";"annual";"Јавни подаци";"2026-01-01";"2026-03-31";"sr:municipality";"";False;"2026-01-12T12:26:10.352000";"2026-01-12T12:26:38.592000";"konkusi";False;1;1;"pdf";0;"";"";"";"";"";"0.78";0;0;0;0;0
"694e5b2cf68bab8bbb679170";"Буџет општине Деспотовац за 2026. годину";"budzet-opstine-despotovac-za-2026-godinu";"ОУД";"https://data.gov.rs/sr/datasets/budzet-opstine-despotovac-za-2026-godinu/";"Општина Деспотовац";"5fa8f2a37de2720400794f6e";"";"";"Oвај сет података садржи два ресурса:

Буџетске расходе - у коме су исказани расходи и издаци по: разделима, називу раздела, шифри програма, називу програма, шифри програмске активности, називу програмске активности, функцији, називу функције, броју позиције, економској класификацији, назив економске класификације, средства из буџета, средства из сопствених извора и средства из додатних извора. Приказани подаци су у динарима.

Буџетске приходе - у коме су исказани приходи и примања и то по класама, називу класе, категорији, називу категорије, групи, називу групе, економској класи, називу економске класе, средства из буџета, средства из сопствених извора и средства из додатних извора. Приказани подаци су у динарима.

[Визуализација прихода](https://budzeti.data.gov.rs/opstine/45/income)
[Визуализација расхода](https://budzeti.data.gov.rs/opstine/45/outcome)";"annual";"Јавни подаци";"2026-01-01";"2026-12-31";"sr:municipality";"";False;"2025-12-26T09:53:48.835000";"2025-12-26T10:54:33.808000";"2026,budzet,budzeti,despotovac,javne-finansije,jls,opshtina,opshtine,opstina,opstine,prihod,prihodi,rashod,rashodi";False;2;2;"xlsx";0;"";"";"";"";"";"0.89";0;0;0;0;0
"6943e8a95c58b7692f82e5c2";"Преглед коефицијената за обрачун зараде за радна места ";"pregled-koeficijenata-za-obracun-zarade-za-radna-mesta";"";"https://data.gov.rs/sr/datasets/pregled-koeficijenata-za-obracun-zarade-za-radna-mesta/";"Општина Ћуприја";"691d97159ba5b90ddff228f5";"";"";"Преглед коефицијената за обрачун зараде за радна места ";"annual";"Јавни подаци";"2025-12-18";"";"";"";False;"2025-12-18T11:42:33.824000";"2025-12-18T11:43:56.231000";"";False;1;1;"xls";0;"";"";"";"";"";"0.67";0;0;0;0;0
"693c027d0baedf49bc70557c";"Резултати мониторинга ваздуха града Шапца (01.12.-07.12.2025.) мерно место Чавић";"rezultati-monitoringa-vazduha-grada-sapca-01-12-07-12-2025-merno-mesto-cavic";"ЧА-12/25";"https://data.gov.rs/sr/datasets/rezultati-monitoringa-vazduha-grada-sapca-01-12-07-12-2025-merno-mesto-cavic/";"Завод за јавно здравље Шабац";"5ffef8457de272fb2b91fbaf";"";"";"Резултати мониторинга ваздуха града Шапца (01.12.-07.12.2025.) мерно место Чавић";"weekly";"Јавни подаци";"2025-12-01";"2025-12-07";"sr:city";"";False;"2025-12-12T11:54:37.956000";"2025-12-12T11:54:47.522000";"kvalitet-vazdukha";False;1;1;"xls";0;"";"";"";"";"";"0.78";0;0;0;0;0
"693c021aef74edbefbe1eaee";"Резултати мониторинга ваздуха града Шапца (01.12.-07.12.2025.) мерно место Ватрогасни дом-Еликсир";"rezultati-monitoringa-vazduha-grada-sapca-01-12-07-12-2025-merno-mesto-vatrogasni-dom-eliksir";"ВДЕ-12/25";"https://data.gov.rs/sr/datasets/rezultati-monitoringa-vazduha-grada-sapca-01-12-07-12-2025-merno-mesto-vatrogasni-dom-eliksir/";"Завод за јавно здравље Шабац";"5ffef8457de272fb2b91fbaf";"";"";"Резултати мониторинга ваздуха града Шапца (01.12.-07.12.2025.) мерно место Ватрогасни дом-Еликсир";"weekly";"Јавни подаци";"2025-12-01";"2025-12-07";"sr:city";"";False;"2025-12-12T11:52:58.192000";"2025-12-12T11:53:10.742000";"kvalitet-vazdukha";False;1;1;"xls";0;"";"";"";"";"";"0.78";0;0;0;0;0
"693c0185277ce4618764164e";"Резултати мониторинга ваздуха града Шапца (01.12.-07.12.2025.) мерно место Ватрогасни дом";"rezultati-monitoringa-vazduha-grada-sapca-01-12-07-12-2025-merno-mesto-vatrogasni-dom";"ВД-12/25";"https://data.gov.rs/sr/datasets/rezultati-monitoringa-vazduha-grada-sapca-01-12-07-12-2025-merno-mesto-vatrogasni-dom/";"Завод за јавно здравље Шабац";"5ffef8457de272fb2b91fbaf";"";"";"Резултати мониторинга ваздуха града Шапца (01.12.-07.12.2025.) мерно место Ватрогасни дом";"weekly";"Јавни подаци";"2025-12-01";"2025-12-07";"sr:city";"";False;"2025-12-12T11:50:29.407000";"2025-12-12T11:50:43.082000";"kvalitet-vazdukha";False;1;1;"xls";0;"";"";"";"";"";"0.78";0;0;0;0;0
"693c00ceef74edbefbe1eaed";"Резултати мониторинга ваздуха града Шапца (01.12.-07.12.2025.) мерно место Касарна";"rezultati-monitoringa-vazduha-grada-sapca-01-12-07-12-2025-merno-mesto-kasarna";"КА-12/25";"https://data.gov.rs/sr/datasets/rezultati-monitoringa-vazduha-grada-sapca-01-12-07-12-2025-merno-mesto-kasarna/";"Завод за јавно здравље Шабац";"5ffef8457de272fb2b91fbaf";"";"";"Резултати мониторинга ваздуха града Шапца (01.12.-07.12.2025.) мерно место Касарна";"weekly";"Јавни подаци";"2025-12-01";"2025-12-07";"sr:city";"";False;"2025-12-12T11:47:26.368000";"2025-12-12T11:47:37.796000";"kvalitet-vazdukha";False;1;1;"xls";0;"";"";"";"";"";"0.78";0;0;0;0;0
"693c0041277ce4618764164d";"Резултати мониторинга ваздуха града Шапца (01.12.-07.12.2025.) мерно место Геронтолошки центар-Општина";"rezultati-monitoringa-vazduha-grada-sapca-01-12-07-12-2025-merno-mesto-gerontoloski-centar-opstina";"ГЦЕ-12/25";"https://data.gov.rs/sr/datasets/rezultati-monitoringa-vazduha-grada-sapca-01-12-07-12-2025-merno-mesto-gerontoloski-centar-opstina/";"Завод за јавно здравље Шабац";"5ffef8457de272fb2b91fbaf";"";"";"Резултати мониторинга ваздуха града Шапца (01.12.-07.12.2025.) мерно место Геронтолошки центар-Општина";"weekly";"Јавни подаци";"2025-12-01";"2025-12-07";"sr:city";"";False;"2025-12-12T11:45:05.968000";"2025-12-12T11:45:18.361000";"kvalitet-vazdukha";False;1;1;"xls";0;"";"";"";"";"";"0.89";0;0;0;0;0
"693bffa3277ce4618764164c";"Резултати мониторинга ваздуха града Шапца (01.12.-07.12.2025.) мерно место Геронтолошки центар-Еликсир";"rezultati-monitoringa-vazduha-grada-sapca-01-12-07-12-2025-merno-mesto-gerontoloski-centar-eliksir";"ГЦЕ-12/25";"https://data.gov.rs/sr/datasets/rezultati-monitoringa-vazduha-grada-sapca-01-12-07-12-2025-merno-mesto-gerontoloski-centar-eliksir/";"Завод за јавно здравље Шабац";"5ffef8457de272fb2b91fbaf";"";"";"Резултати мониторинга ваздуха града Шапца (01.12.-07.12.2025.) мерно место Геронтолошки центар-Еликсир";"weekly";"Јавни подаци";"2025-12-01";"2025-12-07";"sr:city";"";False;"2025-12-12T11:42:27.106000";"2025-12-12T11:42:39.126000";"kvalitet-vazdukha";False;1;1;"xls";0;"";"";"";"";"";"0.89";0;0;0;0;0
"693bff320baedf49bc70557b";"Резултати мониторинга ваздуха града Шапца (01.12.-07.12.2025.) мерно место Аутобуска станица";"rezultati-monitoringa-vazduha-grada-sapca-01-12-07-12-2025-merno-mesto-autobuska-stanica";"АС-12/25";"https://data.gov.rs/sr/datasets/rezultati-monitoringa-vazduha-grada-sapca-01-12-07-12-2025-merno-mesto-autobuska-stanica/";"Завод за јавно здравље Шабац";"5ffef8457de272fb2b91fbaf";"";"";"Резултати мониторинга ваздуха града Шапца (01.12.-07.12.2025.) мерно место Аутобуска станица";"weekly";"Јавни подаци";"2025-12-01";"2025-12-07";"sr:city";"";False;"2025-12-12T11:40:34.843000";"2025-12-12T11:40:45.098000";"kvalitet-vazdukha";False;1;1;"xls";0;"";"";"";"";"";"0.78";0;0;0;0;0
